Actual,Forecast
53256.00000000001,51628.98
52490.0,53668.34
49747.0,51326.566
48446.0,47781.36
47740.0,48319.438
48148.0,48727.535
50367.0,49927.395
53935.0,52010.305
55486.00000000001,54294.426
53305.0,53454.21
51472.0,50151.832
50443.00000000001,48889.4
47735.00000000001,47435.55
44861.0,44974.12
43841.0,43014.957
43202.0,43573.855
43777.0,43978.85
45762.0,46162.36
50257.0,51034.652
59664.99999999999,58209.094
66542.0,66000.84
68384.0,68700.25
68842.0,68950.01
69591.0,70336.21
70599.0,70863.586
69855.0,70618.86
69223.0,69421.0
67593.0,68620.26
67160.0,67010.79
65558.0,67378.664
66009.0,66034.16
68136.0,66849.53
68225.0,67772.71
64682.0,65154.688
61097.0,60432.92
57498.99999999999,57290.086
53403.0,53532.465
50522.0,50197.11
48820.0,48430.4
48024.00000000001,48143.98
48786.99999999999,48317.4
50490.0,50720.453
54049.0,55149.69
62451.00000000001,60835.69
69524.0,67943.54
71032.0,70802.875
71659.0,70701.266
72486.0,72239.73
73650.0,73043.81
73190.0,72971.06
71786.0,72214.48
71130.0,70846.23
69820.0,70690.52
68478.0,69981.195
69151.0,69166.195
71747.0,70181.58
71260.0,70861.77
66393.0,67462.37
62892.0,61968.582
59823.0,59253.41
55336.0,55696.63
50888.0,52031.605
49362.99999999999,48513.41
48129.00000000001,48730.383
48529.0,48093.266
50448.0,49868.844
54167.00000000001,54872.68
62304.99999999999,61409.133
68679.0,68358.86
70791.0,70554.69
70442.0,70899.03
71072.0,71484.58
72730.0,71972.91
72389.0,72513.77
71256.0,71596.664
70019.0,70369.16
68269.0,69729.07
66959.0,68647.36
66636.0,68041.12
68966.0,67921.76
68502.0,69033.1
64778.0,65715.47
61415.0,60922.48
57760.99999999999,57882.348
53717.99999999999,53936.098
50360.0,50629.125
48378.0,48221.29
47517.0,47616.31
48368.00000000001,47647.156
49510.99999999999,50103.137
53273.0,53094.875
61303.00000000001,59863.1
67782.0,66959.945
70084.0,69461.26
70390.0,70064.79
71153.0,71208.68
72392.0,71793.83
71302.0,71987.29
70758.0,70479.766
69459.0,69922.555
68116.0,68919.66
66493.0,68072.29
66884.0,67020.625
68474.0,67961.336
68845.0,68113.12
64684.99999999999,65851.95
60181.0,60435.484
56655.0,56653.71
52592.99999999999,52995.93
49246.0,49582.914
47347.0,47290.727
46322.0,46633.11
46985.0,46268.94
48308.0,48377.254
52194.0,51846.734
59883.0,58986.15
65960.0,65774.914
68209.0,68121.92
68738.0,68762.05
69255.0,69845.05
69576.0,70089.05
69273.0,69503.05
68348.0,68753.305
66470.0,67664.7
65360.0,65875.8
64132.00000000001,65801.23
64728.0,65229.25
66953.0,65866.38
66460.0,66373.84
62663.00000000001,63140.234
58935.0,58531.504
54992.0,55145.234
50986.0,51190.78
48153.0,48087.875
46243.00000000001,46300.453
44732.0,45415.586
45028.0,44037.81
45880.0,45627.28
45419.0,47844.438
47842.00000000001,47118.188
51204.0,52403.16
55038.0,55321.992
57681.0,57774.598
58752.00000000001,59031.957
59334.0,59048.55
58955.0,59095.82
57084.0,58111.117
55035.00000000001,55513.984
53799.99999999999,53742.418
53389.0,53789.176
54659.00000000001,54410.16
57755.0,56012.027
56999.0,57922.5
53951.0,54391.17
51673.00000000001,51029.33
50015.00000000001,48943.453
46988.0,46970.547
43239.0,44097.52
41258.0,41028.316
39384.0,40031.97
39071.0,38353.473
39189.0,39077.797
39431.0,39377.72
40141.0,40294.285
41064.0,42206.996
43765.0,43459.406
47501.0,46605.83
50252.0,49941.61
51865.0,51369.77
54257.0,51858.11
53770.0,54283.047
52174.00000000001,52577.56
51253.0,50726.273
51153.0,50944.656
52166.99999999999,51893.215
56896.0,53232.53
58350.0,57712.59
56355.0,56197.73
53138.0,52991.48
51180.0,50519.33
51008.00000000001,48569.867
48055.0,48337.82
45456.0,45509.324
45138.0,44275.246
44047.0,45697.69
44689.0,45021.754
