,Actual,Forecast,Lower95,Upper95
2019-03-31 00:00:00+00:00,56771.51190476191,58909.79517317706,54528.72597123558,63290.86437511854
2019-04-07 00:00:00+00:00,56433.857142857145,58266.76574505502,53807.65514940778,62725.876340702256
2019-04-14 00:00:00+00:00,56765.97023809524,59204.34476520016,54664.33824742279,63744.351282977535
2019-04-21 00:00:00+00:00,51656.26190476191,58086.12196224112,53456.11000042372,62716.13392405852
2019-04-28 00:00:00+00:00,52336.75,59196.31571057826,54475.56103563536,63917.07038552116
2019-05-05 00:00:00+00:00,53123.17261904762,56772.957749798305,51958.0444584121,61587.87104118451
2019-05-12 00:00:00+00:00,56023.57738095238,57011.758496181144,52095.45528901693,61928.06170334536
2019-05-19 00:00:00+00:00,55285.59523809524,59064.36547720846,54045.05964005996,64083.671314356965
2019-05-26 00:00:00+00:00,54945.35119047619,57172.68355073903,52046.7572400174,62298.60986146065
2019-06-02 00:00:00+00:00,51308.80357142857,57995.14996249842,52756.7265497468,63233.57337525004
2019-06-09 00:00:00+00:00,54528.16071428572,59782.84067827759,54429.76487560269,65135.916480952495
2019-06-16 00:00:00+00:00,52286.708333333336,59513.44223780264,54042.109827103806,64984.77464850148
2019-06-23 00:00:00+00:00,52541.21428571428,60332.937915327806,54738.45068094857,65927.42514970704
2019-06-30 00:00:00+00:00,55955.28571428572,59743.170427238845,54023.07090731801,65463.26994715968
2019-07-07 00:00:00+00:00,55179.63095238096,60067.17803609509,54217.99272079608,65916.3633513941
2019-07-14 00:00:00+00:00,53908.16666666666,58347.0173130222,52364.56094516016,64329.47368088424
2019-07-21 00:00:00+00:00,53511.96428571428,58004.536907780326,51886.214640271064,64122.85917528959
2019-07-28 00:00:00+00:00,54207.10119047619,59242.0916179476,52984.61501838699,65499.568217508204
2019-08-04 00:00:00+00:00,52392.10119047619,59128.73404013397,52728.44522771138,65529.022852556554
2019-08-11 00:00:00+00:00,52019.05357142857,58519.86939315221,51974.14343373365,65065.59535257077
2019-08-18 00:00:00+00:00,51155.23809523809,57763.05006670574,51068.80067049651,64457.299462914976
2019-08-25 00:00:00+00:00,51838.13095238096,59022.45166176727,52176.41874525873,65868.48457827582
2019-09-01 00:00:00+00:00,54091.97023809524,59064.24350733185,52063.83800745515,66064.64900720854
2019-09-08 00:00:00+00:00,52443.16071428572,59500.20718164955,52342.541453825375,66657.87290947372
2019-09-15 00:00:00+00:00,53348.48809523809,59915.92833586326,52598.049067286964,67233.80760443956
2019-09-22 00:00:00+00:00,53222.54761904762,61086.07159883164,53605.46310918064,68566.68008848264
2019-09-29 00:00:00+00:00,54829.47619047619,60870.787048065744,53224.74668184414,68516.82741428734
2019-10-06 00:00:00+00:00,52330.63095238096,59225.771018477266,51411.587518425644,67039.95451852889
2019-10-13 00:00:00+00:00,55801.708333333336,62944.964371784605,54035.75900858014,71854.16973498907
2019-10-20 00:00:00+00:00,56132.79166666666,63484.1252873899,54131.74996001426,72836.50061476554
2019-10-27 00:00:00+00:00,56484.41071428572,64358.86138738367,54759.28975525669,73958.43301951066
2019-11-03 00:00:00+00:00,55029.63095238096,61536.94251471008,51690.712435511996,71383.17259390815
2019-11-10 00:00:00+00:00,58159.36309523809,66739.51011330167,56692.49209487483,76786.52813172851
2019-11-17 00:00:00+00:00,59112.23809523809,67275.23138072793,57086.40115010445,77464.06161135141
2019-11-24 00:00:00+00:00,59735.94047619047,68169.0089062528,57734.52438345353,78603.49342905208
2019-12-01 00:00:00+00:00,59842.833333333336,69495.49244602084,58847.00482916245,80143.98006287924
2019-12-08 00:00:00+00:00,61059.29761904762,70402.84753649485,59574.05123514775,81231.64383784196
2019-12-15 00:00:00+00:00,61242.19047619047,70154.73693596543,59075.02412995693,81234.44974197392
2019-12-22 00:00:00+00:00,56836.767857142855,65490.519516312095,54180.90209367135,76800.13693895284
2019-12-29 00:00:00+00:00,46505.30952380953,56327.1244823467,44805.30922148085,67848.93974321254
2020-01-05 00:00:00+00:00,50161.70238095238,63759.895395914304,51978.06565459541,75541.7251372332
2020-01-12 00:00:00+00:00,59077.59523809524,68671.53354772474,56643.06810863699,80699.9989868125
2020-01-19 00:00:00+00:00,60361.69642857143,70309.3754352214,58042.30694086266,82576.44392958014
2020-01-26 00:00:00+00:00,60893.732142857145,69047.42495872758,56509.2802372605,81585.56968019466
