,Actual,Forecast,Lower95,Upper95,Temperature
2020-06-07,48776.244047619046,58968.29678321263,53602.108129098095,64334.48543732717,16.47142857142857
2020-06-14,48219.744047619046,57964.29280490753,52578.08252665312,63350.50308316194,18.82857142857143
2020-06-21,49813.94642857143,58562.28287250426,53156.1250560277,63968.440688980816,19.342857142857145
2020-06-28,50480.79166666666,57611.22801423803,52185.19592490855,63037.26010356752,21.542857142857144
2020-07-05,51458.875,58399.21896734786,52953.38506394627,63845.052870749445,20.042857142857144
2020-07-12,51252.57738095238,56975.514511173016,51509.950461376546,62441.07856096949,16.3
2020-07-19,50896.18452380953,56698.90104906485,51213.6777416992,62184.124356430504,18.442857142857143
2020-07-26,50475.73809523809,58136.40465654771,52631.59221229496,63641.21710080046,19.014285714285712
2020-08-02,50049.392857142855,57971.78277397524,52447.450567661246,63496.11498028923,20.62857142857143
2020-08-09,49450.92261904762,56519.97796745424,50976.19462289904,62063.76131200943,23.62857142857143
2020-08-16,52076.73809523809,55234.7444345005,49671.577834068645,60797.91103493235,25.185714285714283
2020-08-23,51872.05952380953,56412.56654094433,50830.08389128797,61995.049190600694,23.457142857142856
2020-08-30,51653.375,57042.60182694876,51440.86951423427,62644.33413966325,17.728571428571428
2020-09-06,51617.744047619046,57820.14098097043,52199.22468691143,63441.05727502942,15.942857142857141
2020-09-13,51507.63095238096,57857.13233145197,52217.097259107744,63497.16740379619,16.485714285714288
2020-09-20,52181.32738095238,58818.6883018982,53159.598038075594,64477.7785657208,17.214285714285715
2020-09-27,53411.93452380953,58124.23670750137,52446.15476639532,63802.31864860742,15.0
2020-10-04,57410.319444444445,56540.266865613245,50843.25659468996,62237.277136536526,13.814285714285715
